support_family,layout,jitter_fraction,dtype,candidate,operator_variant,operator,norm,mean_log_error_log_dx_slope,median_log_error_log_dx_slope,mean_endpoint_ratio_64_over_16,median_endpoint_ratio_64_over_16
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_difference_gradient,divergence,L2,1.571090194755628,1.573253559493149,0.11620891987913705,0.11605383321907131
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_difference_gradient,divergence,Linf,1.1166578692815363,1.14074442999529,0.21731791167998785,0.21023519170483101
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_difference_gradient,gradient,L1,1.567560394106307,1.5678058970007598,0.11766749424267767,0.11745813194108508
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_difference_gradient,gradient,L2,1.464089964540497,1.464062711531654,0.13488962047000488,0.13460949801763017
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_difference_gradient,gradient,Linf,0.8423465466843628,0.8322963052337969,0.3092471892779831,0.31123385462948494
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_kernel_weights,kernel_S0,L2,-0.011626091150808395,-0.017721677090583955,1.01566567188402,1.0241947166687604
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_kernel_weights,kernel_S0,Linf,-0.1984645761408225,-0.21136606027548496,1.329019523229424,1.3658175739279619
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_kernel_weights,kernel_S0,mean_abs,-0.006612411053891227,-0.011860947674639329,1.0086117099567766,1.0218146776070252
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_kernel_weights,kernel_S1,L2,0.9939323366920049,0.9835030888567662,0.25169230989284863,0.2554727201958439
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_kernel_weights,kernel_S1,Linf,0.8561537443833022,0.8417010863394664,0.2993488751356216,0.3053863302903425
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_kernel_weights,scalar_interpolation,L1,1.8096353307521975,1.8097482808150487,0.08511429124014264,0.08489584405653187
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_kernel_weights,scalar_interpolation,L2,1.6739826335302475,1.6765301951595013,0.10124166812910225,0.10055055927236232
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_kernel_weights,scalar_interpolation,Linf,1.0015332981939369,1.0109389052596434,0.24769005559489884,0.24396741639092945
