panel,resolution,particle_count,layout,jitter_fraction,s0_mean_abs,s0_l2,s0_linf,s1_l2,s1_linf,operator,norm,error,observed_order_from_previous,force_type,state_case,density_perturbation,pair_force_residual_l2,pair_force_residual_linf,total_internal_force,characteristic_normalized_internal_force,total_internal_torque,viscous_power,density_offset,density_amplitude,minimum_pressure,maximum_pressure,integration_scheme,dt,numerical,exact,absolute_error,observed_order,ad_completed_cases,ad_pass,canary_rows_used,conservation_pass,disorder_status,evidence_complete,final_status,gci_justified,gci_statement,jitter10_median_velocity_error_multiplier,mach_complete,mach_density_nonworsening,prerequisite_pass,provenance_pass,resource_pass,schema_version,space_gates,space_pass,space_slope_modal,space_slope_velocity,stage02_started,time_gates,time_modal_errors,time_pass,time_self_difference_coarse,time_self_difference_fine,time_self_difference_series_coarse,time_self_difference_series_fine,time_velocity_errors,v3_started
c,16,256,regular,0.0,,,,,,generic_sph_gradient,l2,0.8191388845443726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,regular,0.0,,,,,,generic_sph_gradient,l2,0.39136868715286255,1.821620611261772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,regular,0.0,,,,,,generic_sph_gradient,l2,0.2273169755935669,1.888559246140894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,regular,0.0,,,,,,generic_sph_gradient,linf,1.353780746459961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,regular,0.0,,,,,,generic_sph_gradient,linf,0.6762533187866211,1.7118335424246143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,regular,0.0,,,,,,generic_sph_gradient,linf,0.39882516860961914,1.8355144146737632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,regular,0.0,,,,,,physical_nu_generic_laplacian,l1,3.241853713989258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,regular,0.0,,,,,,physical_nu_generic_laplacian,l1,1.5385808944702148,1.8380984966471738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,regular,0.0,,,,,,physical_nu_generic_laplacian,l1,0.8925224542617798,1.8929372159197762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,regular,0.0,,,,,,physical_nu_generic_laplacian,l2,3.807647466659546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,regular,0.0,,,,,,physical_nu_generic_laplacian,l2,1.7903820276260376,1.8610294700714203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,regular,0.0,,,,,,physical_nu_generic_laplacian,l2,1.0404894351959229,1.8865889087017198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
