step,edge_count,removed_vs_initial,added_vs_initial
917,82944,0,0
918,82944,0,0
919,82944,0,0
920,82944,0,0
921,82944,0,0
922,82944,0,0
923,82944,0,0
924,82944,0,0
925,82944,0,0
926,82944,0,0
927,82944,0,0
928,82944,0,0
929,82944,0,0
930,82944,0,0
931,82944,0,0
932,82944,0,0
933,82944,0,0
934,82944,0,0
935,82944,0,0
936,82944,0,0
937,82944,0,0
938,82944,0,0
939,82944,0,0
940,82944,0,0
941,82944,0,0
942,82944,0,0
943,82944,0,0
944,82944,0,0
945,82944,0,0
946,82944,0,0
947,82944,0,0
948,82944,0,0
949,82944,0,0
950,82944,0,0
951,82944,0,0
952,82944,0,0
953,82944,0,0
954,82944,0,0
955,82944,0,0
956,82944,0,0
957,82944,0,0
958,82944,0,0
959,82944,0,0
960,82944,0,0
961,82944,0,0
962,82944,0,0
963,82944,0,0
964,82944,0,0
965,82944,0,0
966,82944,0,0
967,82944,0,0
968,82944,0,0
969,82944,0,0
970,82944,0,0
971,82944,0,0
972,82944,0,0
973,82944,0,0
974,82944,0,0
975,82944,0,0
976,82944,0,0
977,82944,0,0
978,82944,0,0
979,82944,0,0
980,82944,0,0
981,82944,0,0
982,82944,0,0
983,82944,0,0
984,82944,0,0
985,82944,0,0
986,82944,0,0
987,82944,0,0
988,82944,0,0
989,82944,0,0
990,82944,0,0
991,82944,0,0
992,82944,0,0
993,82944,0,0
994,82944,0,0
995,82944,0,0
996,82944,0,0
997,82944,0,0
998,82944,0,0
999,82944,0,0
1000,82944,0,0
