semantic_slot,tensor_object_id,storage_key,shape,dtype,nbytes,gc_is_tracked,is_tensor_view,base_storage,creation_step,replacement_step,retirement_step,last_alive_step,gc_generation,python_owner_object_type,owner_creation_location,owner_source_module,owner_category,owner_project_owned,owner_diagnostic_owned
endpoint_neighborhood.displacement,4453523504,cpu:5789057024:1327104,82944x2,torch.float64,1327104,True,False,none,99,100,101,122,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451949920,cpu:5792497664:1327104,82944x2,torch.float64,1327104,True,False,none,100,101,102,103,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452567232,cpu:5240553472:1327104,82944x2,torch.float64,1327104,True,False,none,100,110,111,111,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452567792,cpu:5799903232:1327104,82944x2,torch.float64,1327104,True,False,none,102,103,104,122,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454026768,cpu:5241896960:1327104,82944x2,torch.float64,1327104,True,False,none,102,123,124,165,2,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453524304,cpu:5512593408:1327104,82944x2,torch.float64,1327104,True,False,none,103,132,133,134,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453023600,cpu:5241208832:1327104,82944x2,torch.float64,1327104,True,False,none,104,105,106,106,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453823776,cpu:5239865344:1327104,82944x2,torch.float64,1327104,True,False,none,104,116,117,117,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453258000,cpu:5791809536:1327104,82944x2,torch.float64,1327104,True,False,none,105,106,107,122,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452874464,cpu:5254676480:1327104,82944x2,torch.float64,1327104,True,False,none,106,107,108,108,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453918160,cpu:5254676480:1327104,82944x2,torch.float64,1327104,True,False,none,106,121,122,122,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453530464,cpu:5797281792:1327104,82944x2,torch.float64,1327104,True,False,none,108,109,110,111,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453817216,cpu:5803278336:1327104,82944x2,torch.float64,1327104,True,False,none,111,112,113,122,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453812896,cpu:5805309952:1327104,82944x2,torch.float64,1327104,True,False,none,112,113,114,114,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453911840,cpu:5805998080:1327104,82944x2,torch.float64,1327104,True,False,none,116,117,118,119,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453921200,cpu:5518589952:1327104,82944x2,torch.float64,1327104,True,False,none,119,120,121,122,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454025728,cpu:5795184640:1327104,82944x2,torch.float64,1327104,True,False,none,126,156,157,157,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452569392,cpu:5244616704:1327104,82944x2,torch.float64,1327104,True,False,none,128,129,130,131,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454337904,cpu:5244616704:1327104,82944x2,torch.float64,1327104,True,False,none,128,143,144,145,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453814256,cpu:5790826496:1327104,82944x2,torch.float64,1327104,True,False,none,133,134,135,136,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454029488,cpu:4985028608:1327104,82944x2,torch.float64,1327104,True,False,none,136,137,138,139,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453913280,cpu:4974772224:1327104,82944x2,torch.float64,1327104,True,False,none,137,138,139,139,0,unresolved,unresolved,unresolved,unresolved,False,False
