field,value
topology.s[731],0.178466796875
topology.s[732],0.1787109375
topology.s[733],0.178955078125
topology.s[734],0.17919921875
topology.s[735],0.179443359375
topology.s[736],0.1796875
topology.s[737],0.179931640625
topology.s[738],0.18017578125
topology.s[739],0.180419921875
topology.s[740],0.1806640625
topology.s[741],0.180908203125
topology.s[742],0.18115234375
topology.s[743],0.181396484375
topology.s[744],0.181640625
topology.s[745],0.181884765625
topology.s[746],0.18212890625
topology.s[747],0.182373046875
topology.s[748],0.1826171875
topology.s[749],0.182861328125
topology.s[750],0.18310546875
topology.s[751],0.183349609375
topology.s[752],0.18359375
topology.s[753],0.183837890625
topology.s[754],0.18408203125
topology.s[755],0.184326171875
topology.s[756],0.1845703125
topology.s[757],0.184814453125
topology.s[758],0.18505859375
topology.s[759],0.185302734375
topology.s[760],0.185546875
topology.s[761],0.185791015625
topology.s[762],0.18603515625
topology.s[763],0.186279296875
topology.s[764],0.1865234375
topology.s[765],0.186767578125
topology.s[766],0.18701171875
topology.s[767],0.187255859375
topology.s[768],0.1875
topology.s[769],0.187744140625
topology.s[770],0.18798828125
topology.s[771],0.188232421875
topology.s[772],0.1884765625
topology.s[773],0.188720703125
topology.s[774],0.18896484375
topology.s[775],0.189208984375
topology.s[776],0.189453125
topology.s[777],0.189697265625
topology.s[778],0.18994140625
topology.s[779],0.190185546875
topology.s[780],0.1904296875
topology.s[781],0.190673828125
topology.s[782],0.19091796875
topology.s[783],0.191162109375
topology.s[784],0.19140625
topology.s[785],0.191650390625
topology.s[786],0.19189453125
topology.s[787],0.192138671875
topology.s[788],0.1923828125
topology.s[789],0.192626953125
topology.s[790],0.19287109375
topology.s[791],0.193115234375
topology.s[792],0.193359375
topology.s[793],0.193603515625
topology.s[794],0.19384765625
topology.s[795],0.194091796875
topology.s[796],0.1943359375
topology.s[797],0.194580078125
topology.s[798],0.19482421875
topology.s[799],0.195068359375
topology.s[800],0.1953125
topology.s[801],0.195556640625
topology.s[802],0.19580078125
topology.s[803],0.196044921875
topology.s[804],0.1962890625
topology.s[805],0.196533203125
topology.s[806],0.19677734375
topology.s[807],0.197021484375
topology.s[808],0.197265625
topology.s[809],0.197509765625
topology.s[810],0.19775390625
topology.s[811],0.197998046875
topology.s[812],0.1982421875
topology.s[813],0.198486328125
topology.s[814],0.19873046875
topology.s[815],0.198974609375
topology.s[816],0.19921875
topology.s[817],0.199462890625
topology.s[818],0.19970703125
topology.s[819],0.199951171875
topology.s[820],0.2001953125
topology.s[821],0.200439453125
topology.s[822],0.20068359375
topology.s[823],0.200927734375
topology.s[824],0.201171875
topology.s[825],0.201416015625
topology.s[826],0.20166015625
topology.s[827],0.201904296875
topology.s[828],0.2021484375
topology.s[829],0.202392578125
topology.s[830],0.20263671875
topology.s[831],0.202880859375
topology.s[832],0.203125
topology.s[833],0.203369140625
topology.s[834],0.20361328125
topology.s[835],0.203857421875
topology.s[836],0.2041015625
