panel,lineage,run_id,Q_def,origin,record_id,variant
(a),HET_S1_02,D1_seed20700713,0.18804369874317087,11,HET_S1_02_MAIN_N8_O11,MAIN
(a),HET_S1_02,D1_seed20700713,0.1848559198846923,12,HET_S1_02_MAIN_N8_O12,MAIN
(a),HET_S1_02,D1_seed20700713,0.18165774165062148,13,HET_S1_02_MAIN_N8_O13,MAIN
(a),HET_S1_02,D1_seed20700713,0.17845043302226274,14,HET_S1_02_MAIN_N8_O14,MAIN
(a),HET_S1_02,D1_seed20700713,0.17523566129595458,15,HET_S1_02_MAIN_N8_O15,MAIN
(a),HET_S1_02,D1_seed20700713,0.17201490909709619,16,HET_S1_02_MAIN_N8_O16,MAIN
(a),HET_S1_02,D1_seed20700713,0.16878982912501306,17,HET_S1_02_MAIN_N8_O17,MAIN
(a),HET_S1_02,D1_seed20700713,0.16556218199027023,18,HET_S1_02_MAIN_N8_O18,MAIN
(a),HET_S1_02,D1_seed20700713,0.16233360256017396,19,HET_S1_02_MAIN_N8_O19,MAIN
(a),HET_S1_02,D1_seed20700713,0.15910601735512897,20,HET_S1_02_MAIN_N8_O20,MAIN
(a),HET_S1_02,D1_seed20700713,0.15588151584683296,21,HET_S1_02_MAIN_N8_O21,MAIN
(a),HET_S1_02,D1_seed20700713,0.15266219478130122,22,HET_S1_02_MAIN_N8_O22,MAIN
(a),HET_S1_02,D1_seed20700713,0.1494503633997556,23,HET_S1_02_MAIN_N8_O23,MAIN
(a),HET_S1_02,D1_seed20700713,0.14624850627838268,24,HET_S1_02_MAIN_N8_O24,MAIN
(a),HET_S1_02,D1_seed20700713,0.14305927837563293,25,HET_S1_02_MAIN_N8_O25,MAIN
(a),HET_S1_02,D1_seed20700713,0.139885506893148,26,HET_S1_02_MAIN_N8_O26,MAIN
(a),HET_S1_02,D1_seed20700713,0.13673021623639187,27,HET_S1_02_MAIN_N8_O27,MAIN
(a),HET_S1_02,D1_seed20700713,0.13359662038677966,28,HET_S1_02_MAIN_N8_O28,MAIN
(a),HET_S1_02,D1_seed20700713,0.13048820449868528,29,HET_S1_02_MAIN_N8_O29,MAIN
(a),HET_S1_02,D1_seed20700713,0.1274087131702832,30,HET_S1_02_MAIN_N8_O30,MAIN
(a),HET_S1_02,D1_seed20700713,0.12436219295939607,31,HET_S1_02_MAIN_N8_O31,MAIN
(a),HET_S1_02,D2_seed20700711,0.16296478694577818,0,HET_S1_02_LOW_N8_O00,LOW
(a),HET_S1_02,D2_seed20700711,0.16072514101937016,1,HET_S1_02_LOW_N8_O01,LOW
(a),HET_S1_02,D2_seed20700711,0.15847521553750593,2,HET_S1_02_LOW_N8_O02,LOW
(a),HET_S1_02,D2_seed20700711,0.1562159291631934,3,HET_S1_02_LOW_N8_O03,LOW
(a),HET_S1_02,D2_seed20700711,0.15394825031549098,4,HET_S1_02_LOW_N8_O04,LOW
(a),HET_S1_02,D2_seed20700711,0.1516731699300631,5,HET_S1_02_LOW_N8_O05,LOW
(a),HET_S1_02,D2_seed20700711,0.14939172378584242,6,HET_S1_02_LOW_N8_O06,LOW
(a),HET_S1_02,D2_seed20700711,0.14710504964687693,7,HET_S1_02_LOW_N8_O07,LOW
(a),HET_S1_02,D2_seed20700711,0.14481432759823767,8,HET_S1_02_LOW_N8_O08,LOW
(a),HET_S1_02,D2_seed20700711,0.14252074368214573,9,HET_S1_02_LOW_N8_O09,LOW
(a),HET_S1_02,D2_seed20700711,0.14022555400799092,10,HET_S1_02_LOW_N8_O10,LOW
(a),HET_S1_02,D2_seed20700711,0.13793004681577756,11,HET_S1_02_LOW_N8_O11,LOW
(a),HET_S1_02,D2_seed20700711,0.13563560285306564,12,HET_S1_02_LOW_N8_O12,LOW
(a),HET_S1_02,D2_seed20700711,0.13334376095995656,13,HET_S1_02_LOW_N8_O13,LOW
(a),HET_S1_02,D2_seed20700711,0.1310560236005849,14,HET_S1_02_LOW_N8_O14,LOW
(a),HET_S1_02,D2_seed20700711,0.12877403262884649,15,HET_S1_02_LOW_N8_O15,LOW
(a),HET_S1_02,D2_seed20700711,0.12649946780257978,16,HET_S1_02_LOW_N8_O16,LOW
(a),HET_S1_02,D2_seed20700711,0.12423417707602573,17,HET_S1_02_LOW_N8_O17,LOW
(a),HET_S1_02,D2_seed20700711,0.12198000301202318,18,HET_S1_02_LOW_N8_O18,LOW
(a),HET_S1_02,D2_seed20700711,0.11973890717377413,19,HET_S1_02_LOW_N8_O19,LOW
(a),HET_S1_02,D2_seed20700711,0.11751300742949665,20,HET_S1_02_LOW_N8_O20,LOW
(a),HET_S1_02,D2_seed20700711,0.11530458797354279,21,HET_S1_02_LOW_N8_O21,LOW
(a),HET_S1_02,D2_seed20700711,0.11311604903743792,22,HET_S1_02_LOW_N8_O22,LOW
(a),HET_S1_02,D2_seed20700711,0.1109498987823375,23,HET_S1_02_LOW_N8_O23,LOW
(a),HET_S1_02,D2_seed20700711,0.10880880539388882,24,HET_S1_02_LOW_N8_O24,LOW
(a),HET_S1_02,D2_seed20700711,0.10669559012425851,25,HET_S1_02_LOW_N8_O25,LOW
(a),HET_S1_02,D2_seed20700711,0.10461323682752914,26,HET_S1_02_LOW_N8_O26,LOW
(a),HET_S1_02,D2_seed20700711,0.1025648990480586,27,HET_S1_02_LOW_N8_O27,LOW
(a),HET_S1_02,D2_seed20700711,0.10055391104882079,28,HET_S1_02_LOW_N8_O28,LOW
(a),HET_S1_02,D2_seed20700711,0.09858379187437637,29,HET_S1_02_LOW_N8_O29,LOW
(a),HET_S1_02,D2_seed20700711,0.09665824830047484,30,HET_S1_02_LOW_N8_O30,LOW
