particle_i,particle_j,time_before,time_after,estimated_event_time,ratio_before,ratio_after,added,reciprocal,evaluation_ratio_before,evaluation_ratio_after,directed_edge_before,reverse_edge_before,directed_edge_after,reverse_edge_after,pressure_before_l2,pressure_after_l2,viscosity_before_l2,viscosity_after_l2,pair_total_max_l2,aggregated_rhs_jump_linf
38,229,0.008,0.009000000000000001,0.008937173613695792,1.0015618361447363,0.9998953424039904,True,True,1.000000000016659,0.9999999999833414,False,False,True,True,0.0,1.4350820958179555e-53,0.0,4.021541177735636e-54,1.777131307999433e-53,7.245444244574628e-10
41,234,0.008,0.009000000000000001,0.008979720555900078,1.0016184873754288,0.9999665136080206,True,True,1.0000000000165132,0.9999999999834873,False,False,True,True,0.0,1.376582984285755e-53,0.0,3.857110388542889e-54,1.7023013089758664e-53,7.290990033936851e-10
42,233,0.008,0.009000000000000001,0.00872614689984691,1.001241543909795,0.9995317987688662,True,True,1.0000000000170972,0.999999999982903,False,False,True,True,0.0,3.6460486937878076e-54,0.0,3.942294650662936e-54,9.634006424873484e-55,7.016471847975936e-10
55,246,0.008,0.009000000000000001,0.008038888066342238,1.0000724322195877,0.9982109581041205,True,True,1.0000000000186255,0.9999999999813742,False,False,True,True,0.0,3.185068231566942e-53,0.0,8.250436255468508e-54,3.86016676146598e-53,7.593055073584765e-10
56,249,0.008,0.009000000000000001,0.008077764129597442,1.000143420838622,0.9983002097744853,True,True,1.0000000000184428,0.9999999999815581,False,False,True,True,0.0,1.7791351796862713e-53,0.0,7.857005935409198e-54,2.435171164252407e-53,7.548832670067895e-10
64,129,0.008,0.009000000000000001,0.008038888066342488,1.0000724322195889,0.9982109581041205,True,True,1.0000000000186255,0.9999999999813747,False,False,True,True,0.0,3.184688546016527e-53,0.0,8.249452737611625e-54,3.8597065987820862e-53,7.592282358359626e-10
79,142,0.008,0.009000000000000001,0.008077764129597547,1.0001434208386217,0.9983002097744853,True,True,1.0000000000184421,0.9999999999815579,False,False,True,True,0.0,1.779242288105755e-53,0.0,7.857478946976041e-54,2.4353177676922806e-53,7.551022029872456e-10
81,146,0.008,0.009000000000000001,0.008937173613696654,1.0015618361447371,0.9998953424039917,True,True,1.0000000000166587,0.9999999999833412,False,False,True,True,0.0,1.4351777405438494e-53,0.0,4.0218092036465924e-54,1.7772497494710212e-53,7.248024402883857e-10
82,145,0.008,0.009000000000000001,0.008740484882058874,1.0012621570770261,0.9995576818010093,True,True,1.0000000000170446,0.9999999999829561,False,False,True,True,0.0,3.5718882920073524e-53,0.0,3.871803389642254e-54,3.9477722740610386e-53,7.032325832767583e-10
85,105,0.008,0.009000000000000001,0.008740484882059158,1.0012621570770264,0.9995576818010096,True,True,1.0000000000170441,0.9999999999829559,False,False,True,True,0.0,3.5721209670951524e-53,0.0,3.872055601387663e-54,3.948029434471476e-53,7.02866209678632e-10
86,106,0.008,0.009000000000000001,0.008979720555899453,1.0016184873754281,0.9999665136080194,True,True,1.0000000000165126,0.9999999999834873,False,False,True,True,0.0,1.3734071597704833e-53,0.0,3.848211901598828e-54,1.6983740410307803e-53,7.29341920191473e-10
89,101,0.008,0.009000000000000001,0.008937173613696727,1.0015618361447371,0.9998953424039917,True,True,1.000000000016659,0.9999999999833412,False,False,True,True,0.0,1.4384964014461427e-53,0.0,4.031109111657234e-54,1.7813594071747534e-53,7.246869770938247e-10
