step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
511,False,12392,7685,32,18,15,0,0,0,0
512,False,12424,7683,18,15,15,0,0,0,0
513,False,12456,7715,32,18,15,0,0,0,0
514,False,12488,7713,18,15,15,0,0,0,0
515,False,12520,7745,32,18,15,0,0,0,0
516,False,12552,7743,18,15,15,0,0,0,0
517,False,12584,7775,32,18,15,0,0,0,0
518,False,12616,7773,18,15,15,0,0,0,0
519,False,12648,7805,32,18,15,0,0,0,0
520,False,12680,7803,18,15,15,0,0,0,0
521,False,12712,7835,32,18,15,0,0,0,0
522,False,12744,7833,18,15,15,0,0,0,0
523,False,12776,7865,32,18,15,0,0,0,0
524,False,12808,7863,18,15,15,0,0,0,0
525,False,12840,7895,32,18,15,0,0,0,0
525,True,12840,7878,18,15,15,0,0,0,0
526,False,12672,7910,32,18,15,0,0,0,0
527,False,12704,7908,18,15,15,0,0,0,0
528,False,12736,7940,32,18,15,0,0,0,0
529,False,12768,7938,18,15,15,0,0,0,0
530,False,12800,7970,32,18,15,0,0,0,0
531,False,12832,7968,18,15,15,0,0,0,0
532,False,12864,8000,32,18,15,0,0,0,0
533,False,12896,7998,18,15,15,0,0,0,0
534,False,12928,8030,32,18,15,0,0,0,0
535,False,12960,8028,18,15,15,0,0,0,0
536,False,12992,8060,32,18,15,0,0,0,0
