panel,row_id,arm,epsilon,relative_error,historical_stable_window_verdict,probe_group,fail,pass,total,horizon
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|initial_velocity,D1,3e-06,9.122464026648416e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|initial_density,D1,0.0001,2.719299184985355e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|initial_density,D1,3e-05,2.9511845593739966e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|initial_density,D1,1e-05,2.974639488756713e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|initial_density,D1,3e-06,2.9870381841305006e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|token_encoder_parameter,D1,0.0001,2.829590035215038e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|token_encoder_parameter,D1,3e-05,1.755463802275475e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|token_encoder_parameter,D1,1e-05,0.00016916510470707305,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|token_encoder_parameter,D1,3e-06,0.00013072600526967698,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|coefficient_head_parameter,D1,0.0001,4.60745794114843e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|coefficient_head_parameter,D1,3e-05,6.242655143406383e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|coefficient_head_parameter,D1,1e-05,0.0011353413212200503,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|coefficient_head_parameter,D1,3e-06,0.003664533990217683,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|initial_velocity,D1,0.0001,5.445496010497137e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|initial_velocity,D1,3e-05,5.445611550471478e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|initial_velocity,D1,1e-05,5.44855048093312e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|initial_velocity,D1,3e-06,5.454089107532126e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|initial_density,D1,0.0001,1.0515369952418975e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|initial_density,D1,3e-05,1.0399115616745273e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|initial_density,D1,1e-05,1.03484415864492e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K4|initial_density,D1,3e-06,1.0364679006193446e-05,False,,,,,
